동,label,면적,가구수,인구,인구밀도,상권월소득금액,상권지출총금액,유동인구(08),유동인구(19),은행,주차장,사업체
반포본동,2,0.046568627,0,0.04440203,0.18776564,0.85262761,0.22282901,0.04557824,0.04015246,0.08928571,0,0.019738633
자양2동,1,0.10130719,0.41127529,0.4472017,0.2424257,0.09559686,0.59756122,0.25214194,0.20098153,0.01785714,0.336522228,0.077389055
중계1동,0,0.015522876,0.33632854,0.49990317,0.73449454,0.47650337,0.336522228,0.23266597,0.16891198,0.05357143,0.014350028,0.038388238
중계2.3동,0,0.037581699,0.72184505,0.79331618,0.69604966,0.15396101,0.33689988,0.44685972,0.33821039,0.03571429,0.004783343,0.066226518
중계4동,0,0.102941176,0.27369542,0.30417462,0.19052431,0.13579285,0.57102603,0.16407166,0.12881487,0.05357143,0.040236353,0.044718214
중계본동,1,0.125,0.31795793,0.46629043,0.20887264,0.17167221,0.19690896,0.18850569,0.15573328,0.03571429,0.074001125,0.054247209
