구,동,상권지출총금액,상권월소득금액,면적,가구수,유동인구(8시),유동인구(19시),인구,인구밀도,세대,지방세징수,주차장수,주차장면적,공장 수,공장면적,가스사용량,은행 수
서초구,양재2동,9406592258,3265964,7.58,9402,36340.7529,38476.1793,23633,3118,10752,78158,1659,29091,1659,29091,12307,16
강남구,역삼1동,10675750059,3496440,2.35,18741,79455.1947,107976.8404,36450,15511,21536,382260,3569,51439,3569,51439,25946,56
강남구,역삼2동,14473225187,3406522.348,1.15,12666,45080.0483,39936.7878,36314,31577,14788,114466,1040,23562,1040,23562,17418,13
노원구,월계1동,8984487226,3287233,1.16,9272,25234.1212,23998.6587,22875,19720,9498,12511,655,8668,655,8668,10073,2
노원구,월계2동,5206978560,2411090,1.94,11137,20649.2537,16895.069,28708,14798,11909,8438,250,9051,250,9051,14413,3
노원구,월계3동,7442977165,3078747,1.17,12400,27876.1126,24593.6731,34528,29511,13319,13857,71,12566,71,12566,12833,7
강남구,일원1동,13694837574,3895382,0.92,6856,18911.0678,16464.8125,17627,19160,7430,14754,806,3438,806,3438,8604,2
강남구,일원2동,11017762962,4128585,1.24,6168,16295.36,13125.9788,16621,13404,7096,31111,21,3646,21,3646,7627,3
강남구,일원본동,7499210919,5887718,2.58,7571,23753.8505,19497.7442,25350,9826,8369,32209,130,10853,130,10853,9689,5
광진구,자양1동,23139854888,2893437,0.57,9762,30306.821,27747.7711,24151,42370,10973,12460,1279,6592,1279,6592,11612,4
광진구,자양2동,15002199711,2895805,1.68,9896,26168.3465,25293.3185,27877,16593,11379,15034,1211,10134,1211,10134,11108,1
광진구,자양3동,10999101539,3646235,1.2,10067,24236.7629,27534.1828,31227,26023,11215,29423,432,13682,432,13682,10713,6
광진구,자양4동,10667059585,3638538,1.16,10431,29049.6485,38053.5502,28033,24166,11668,11655,951,5394,951,5394,14452,2
서초구,잠원동,14235666179,5992333,1.76,12096,41252.4216,37138.5397,34015,19327,13765,63376,613,15699,613,15699,17209,10
노원구,중계1동,11133375142,4827156,0.63,8770,24780.6324,21974.7172,29782,47273,9384,15671,66,10181,66,10181,9382,3
노원구,중계2.3동,8744229774,3191735,0.9,14562,40042.4993,39493.9477,40388,44876,15606,12260,32,8850,32,8850,15349,2
노원구,중계4동,14365141603,3099615,1.7,7829,19893.108,17825.4135,22707,13357,8340,9256,158,6484,158,6484,8537,3
노원구,중계본동,5383321180,3281538,1.97,8494,21634.0971,20610.9677,28567,14501,9605,16525,278,9432,278,9432,8656,2
광진구,중곡1동,11547536773,2790828,0.62,6749,16336.5447,17163.2588,16526,26655,7618,10864,1078,4501,1078,4501,7940,2
광진구,중곡2동,17039006925,2814542,0.55,8830,18953.4722,15182.6055,22610,41109,9691,9916,1409,6227,1409,6227,10075,4
광진구,중곡3동,10411148892,2699789,0.6,7229,17295.3207,17302.654,18120,30200,8232,6391,1050,5495,1050,5495,8503,1
광진구,중곡4동,14473225187,3406522.348,2.32,11624,28704.6695,25381.6719,32041,13811,12842,11387,1872,8223,1872,8223,12967,2
강남구,청담동,7167778669,5155179,2.33,10797,40765.31,42867.5969,31129,13360,12323,185298,1576,26039,1576,26039,14252,20
노원구,하계1동,10030281600,4776508,1.55,10522,27675.3446,25257.2219,29635,19119,11085,14308,309,10140,309,10140,11539,1
노원구,하계2동,15449110316,3269120.179,0.51,8028,21142.241,17952.8959,25078,49173,8556,8584,15,4955,15,4955,8235,2
광진구,화양동,8415198012,2655292,1.16,15466,43610.7723,58641.3808,24419,21051,14222,24166,1212,9323,1212,9323,19806,7
