district,count
강남구,29
강동구,11
강북구,3
강서구,21
관악구,4
광진구,11
구로구,13
금천구,4
노원구,18
도봉구,7
동대문구,11
동작구,17
마포구,22
서대문구,7
서초구,19
성동구,19
성북구,9
송파구,22
양천구,6
영등포구,19
용산구,18
은평구,15
종로구,15
중구,23
중랑구,14
