동,label,면적,가구수,인구,인구밀도,상권월소득금액,상권지출총금액,유동인구(08),유동인구(19),은행,주차장,사업체
종로1.2.3.4가동,2,2.35,3733,8786,3739,3649178,10406897065,40679.3839,90451.2085,53,585,15970
창신1동,2,0.31,2465,6862,22135,2737359,8804540578,11885.2194,11193.2257,5,162,2273
숭인1동,2,0.23,2740,7232,31443,3045349,11834633133,8081.5191,8311.4854,1,155,533
숭인2동,2,0.35,4478,9983,28523,3039616,18307301107,14863.0235,13592.5474,4,347,1881
필동,2,1.14,2168,5101,4475,3381019,5068235575,11820.5467,13298.5843,8,396,3159
을지로동,2,0.6,914,1854,3090,3369673,3168012212,13732.4797,14464.649,11,122,9442
신당5동,2,0.39,4143,10449,26792,3326137,14959198744,12147.8554,12214.5986,2,252,1283
신당동,2,0.55,3401,9042,16440,3176525,9792357776,23395.4536,20547.619,7,396,12117
다산동,2,0.51,6103,16004,31380,3280315,13955377217,16366.9177,15968.8105,4,667,1387
약수동,2,0.48,7118,19002,39588,4177016,21238086106,17235.0918,15202.2366,2,202,854
청구동,2,0.34,5747,15555,45750,3597867,22323921251,12920.3453,9942.3557,1,255,765
동화동,2,0.26,3774,11683,44935,3376385,11911537984,8815.1404,9912.881,1,246,970
이촌1동,2,2.86,8490,29002,10141,6409027,8275919582,30736.7609,25601.0062,11,70,823
한강로동,2,2.9,6194,16424,5663,4323800,5449745189,41197.0598,64141.138,20,444,4892
행당1동,2,0.59,5927,15129,25642,3146646,14278914728,29327.0257,40775.8284,5,285,1451
성수1가2동,2,0.89,7079,17486,19647,3612111,7891845308,18739.2266,18730.0665,5,785,2198
용답동,2,2.32,6777,17207,7417,2718477,6488123300,23289.0975,20982.9299,3,528,2055
금호2.3가동,2,0.64,8188,22962,35878,4031211,18335427730,25523.9593,19532.8456,2,342,1008
옥수동,2,1.95,8266,23281,11939,5063718,10685852672,31834.4647,32061.6433,3,147,825
휘경1동,2,0.63,6954,15501,24605,2930172,9773694540,18982.053,20151.3694,2,444,1027
휘경2동,2,1.05,10223,25519,24304,3229751,8434678633,23217.6648,18184.6232,2,777,1197
용신동,2,1.61,13654,33210,20627,2984918,6281742196,42728.6254,39878.95,10,1270,5820
답십리1동,2,0.81,9885,26582,31645,2856036,19191015299,24903.4084,21841.5417,5,330,2242
상봉1동,2,0.85,8922,26320,30965,2476427,10048038244,21810.1291,21691.7687,0,476,1124
상봉2동,2,0.68,8379,18629,27396,2745504,12538263843,26541.1945,35137.0081,4,884,2131
중화2동,2,0.98,12234,29090,29684,2346366,9081070998,27269.4914,29194.7997,4,801,2126
묵1동,2,1.2,12134,34885,29071,2962046,13593697586,31441.5764,26481.1599,2,1149,1471
월곡2동,2,1.36,8247,21483,15796,3535455,13849114453,26668.2728,29111.1744,5,705,1594
삼선동,2,0.92,11391,27936,30365,3173233,11421338259,29285.9729,30593.9238,7,921,1849
석관동,2,1.73,13876,35725,20650,3704461,4262814993,30195.0256,28810.4185,4,1113,2163
창1동,2,0.88,10142,27881,31683,2660141,12881680066,23252.1487,20447.5057,3,400,1404
창4동,2,0.96,9887,29838,31081,3475547,10677379992,36286.2517,27991.8608,4,100,1284
창5동,2,0.7,9171,27105,38721,3489175,17401086208,26521.9091,31077.7908,3,444,2219
도봉1동,2,8.72,8878,23526,2698,2897525,9438261454,18314.9437,18190.7448,2,1239,1701
도봉2동,2,0.83,10423,29771,35869,3019355,9968826057,24007.1255,20423.4052,3,334,1439
불광1동,2,3.13,15457,42770,13665,3166805,18994439703,37396.4977,40226.9541,5,1174,1640
역촌동,2,1.16,17573,49903,43020,2811762,23266094486,46525.5099,43301.5182,4,2450,2523
홍제1동,2,1.23,8821,24438,19868,3106268,9931757149,29342.2101,25273.6415,2,724,1119
충현동,2,1.12,7601,19376,17300,3624598,6198584797,33918.6711,42254.2629,8,898,1812
