동,label,면적,가구수,인구,인구밀도,상권월소득금액,상권지출총금액,유동인구(08),유동인구(19),은행,주차장,사업체
화곡본동,0,1.11,13764,36575,32950,2718186,18555577420,31373.4896,26812.7024,2,2015,1355
화곡2동,0,0.47,7339,20246,43077,2630442,34060595197,15568.0353,14249.3449,0,1123,852
화곡4동,0,0.82,8802,23382,28515,2905862,21877314245,19869.2991,17655.6336,2,1391,1444
화곡6동,0,1.12,9553,25778,23016,3269120.179,15449110316,25137.6378,23786.7073,5,1167,1850
고척2동,0,1.02,10840,30491,29893,2740365,6916865057,20829.0272,17584.1182,2,1275,1427
개봉3동,0,0.81,7768,22472,27743,2700584,17042370107,17852.6822,15917.4421,2,965,1012
오류2동,0,4.6,15026,46230,10050,2941160,14431983668,46347.1328,41281.5767,1,620,1573
개봉1동,0,1.31,12656,36032,27505,2756418,12666729846,27695.0904,30219.3675,3,1072,1756
독산2동,0,0.6,8600,23644,39407,2885583,13529443399,14890.3611,13592.5025,1,1180,1178
독산3동,0,0.92,10825,32016,34800,2512987,15881472878,21541.099,20904.5646,3,1357,2190
독산4동,0,0.59,7100,19806,33569,2466438,10239185948,12434.8587,12598.9849,2,1133,1011
시흥1동,0,1.71,13584,38520,22526,2889357,16357605037,29242.4233,34877.7005,8,1395,2986
시흥2동,0,1.26,7976,24445,19401,2516170,10797140784,16279.6931,13715.8546,1,100,576
시흥3동,0,1.07,4416,12689,11859,2724408,5628095695,12436.1004,13669.7993,4,517,3340
시흥4동,0,0.87,8411,23953,27532,2547899,14968954945,14863.1957,11593.4966,2,1039,859
시흥5동,0,1.39,8707,23158,16660,2479639,8184099611,12969.1749,12935.2718,0,758,1173
양평2동,0,3,7951,22227,7409,3512048,6177450694,26906.636,26098.5158,3,387,2154
신길3동,0,0.48,5894,16576,34533,2604895,9750569441,16545.1937,15466.1997,5,324,985
신길4동,0,0.35,4570,13186,37674,2761457,11698733530,7206.1817,6278.2624,1,231,491
대림1동,0,0.49,6044,18946,38665,2943063,9256443738,12482.8899,13571.5185,5,1065,1128
영등포동,0,1.26,9455,20471,16247,3933523,9053870906,44858.9667,73358.5628,18,272,6524
도림동,0,0.89,8523,23650,26573,3725064,8484698060,17109.07,16078.9287,1,648,984
문래동,0,1.49,10814,32126,21561,4122943,7395841021,39488.8497,43000.6119,9,220,5403
