구,동,면적,가구수,상권지출총금액,상권월소득금액,유동인구(8시),유동인구(19시),인구,인구밀도,세대,지방세징수,점포수,점포면적,주차장수,주차장면적,공장 수,공장면적,가스사용량,은행 수
강남구,대치4동,0.73,9166,16722049727,4325768,29154.8949,39679.189,21630,29630,10344,93641,#N/A,#N/A,"1,313","16,098","1,313","16,098","11,673",15
강남구,역삼1동,2.35,18741,10675750059,3496440,79455.1947,107976.8404,36450,15511,21536,382260,224,"12,099","3,569","51,439","3,569","51,439","25,946",56
강남구,역삼2동,1.15,12666,#N/A,#N/A,45080.0483,39936.7878,36314,31577,14788,114466,224,"12,099","1,040","23,562","1,040","23,562","17,418",13
강남구,도곡1동,1.02,7581,#N/A,#N/A,25904.5253,23955.2564,22693,22248,8502,55938,#N/A,#N/A,447,"13,014",447,"13,014","9,888",10
강남구,도곡2동,1.02,10835,18560962128,7346227,27895.0799,24355.2389,35307,34615,12317,127119,#N/A,#N/A,335,"23,629",335,"23,629","13,942",22
강남구,개포1동,1.27,7716,#N/A,#N/A,8202.5721,4495.4752,21700,17087,8559,33110,#N/A,#N/A,28,"4,659",28,"4,659","9,588",1
강남구,개포4동,1.49,8254,#N/A,#N/A,18321.1197,15328.3946,22135,14856,9586,27914,#N/A,#N/A,"1,023","10,287","1,023","10,287","8,885",4
강남구,일원본동,2.58,7571,7499210919,5887718,23753.8505,19497.7442,25350,9826,8369,32209,#N/A,#N/A,130,"10,853",130,"10,853","9,689",5
강남구,일원1동,0.92,6856,13694837574,3895382,18911.0678,16464.8125,17627,19160,7430,14754,#N/A,#N/A,806,"3,438",806,"3,438","8,604",2
강남구,일원2동,1.24,6168,11017762962,4128585,16295.36,13125.9788,16621,13404,7096,31111,#N/A,#N/A,21,"3,646",21,"3,646","7,627",3
강남구,수서동,1.43,6948,5756424677,3608399,24975.7541,24871.2868,15732,11001,7376,29543,#N/A,#N/A,91,"7,531",91,"7,531","9,007",4
강남구,세곡동,6.36,14422,#N/A,#N/A,45842.8777,38495.8044,43302,6808,13748,28755,#N/A,#N/A,549,"16,992",549,"16,992","18,923",1
강남구,압구정동,2.53,9321,9370049004,7481497,43215.6821,50703.98,28735,11358,10918,145074,60,"2,931","1,040","19,573","1,040","19,573","12,562",27
강남구,청담동,2.33,10797,7167778669,5155179,40765.31,42867.5969,31129,13360,12323,185298,172,"5,685","1,576","26,039","1,576","26,039","14,252",20
강남구,대치2동,2,12604,14325096429,5402903,47196.5068,47403.4977,42565,21283,13802,145659,477,"28,723",703,"27,197",703,"27,197","15,900",22
강남구,개포2동,2.51,10081,4725703994,3057068,15125.1707,17940.8483,27354,10898,12463,31610,268,"16,985",147,"7,392",147,"7,392","9,689",3
노원구,월계1동,1.16,9272,8984487226,3287233,25234.1212,23998.6587,22875,19720,9498,12511,#N/A,#N/A,655,"8,668",655,"8,668","10,073",2
노원구,월계2동,1.94,11137,5206978560,2411090,20649.2537,16895.069,28708,14798,11909,8438,#N/A,#N/A,250,"9,051",250,"9,051","14,413",3
노원구,월계3동,1.17,12400,7442977165,3078747,27876.1126,24593.6731,34528,29511,13319,13857,#N/A,#N/A,71,"12,566",71,"12,566","12,833",7
노원구,공릉2동,6.82,15755,655921431,5485430,49957.5497,47454.1661,45297,6642,17035,21357,#N/A,#N/A,687,"20,479",687,"20,479","17,700",3
노원구,하계1동,1.55,10522,10030281600,4776508,27675.3446,25257.2219,29635,19119,11085,14308,#N/A,#N/A,309,"10,140",309,"10,140","11,539",1
노원구,하계2동,0.51,8028,#N/A,#N/A,21142.241,17952.8959,25078,49173,8556,8584,#N/A,#N/A,15,"4,955",15,"4,955","8,235",2
노원구,중계본동,1.97,8494,5383321180,3281538,21634.0971,20610.9677,28567,14501,9605,16525,#N/A,#N/A,278,"9,432",278,"9,432","8,656",2
노원구,중계1동,0.63,8770,11133375142,4827156,24780.6324,21974.7172,29782,47273,9384,15671,#N/A,#N/A,66,"10,181",66,"10,181","9,382",3
노원구,중계4동,1.7,7829,14365141603,3099615,19893.108,17825.4135,22707,13357,8340,9256,#N/A,#N/A,158,"6,484",158,"6,484","8,537",3
노원구,상계1동,5.62,14507,9243567703,3023939,39082.8371,40893.5752,42935,7640,15716,22639,#N/A,#N/A,689,"14,560",689,"14,560","16,252",2
노원구,상계2동,0.61,7948,21972713382,3025239,26041.4539,42530.9638,22250,36475,8713,17593,#N/A,#N/A,573,"9,369",573,"9,369","9,484",2
노원구,상계5동,0.44,9278,10834405705,3215180,23134.3627,24180.2928,28084,63827,11250,7135,66,"21,913",836,"5,600",836,"5,600","9,761",1
노원구,상계8동,0.67,8889,13552837526,3474556,18008.0783,12342.5121,26026,38845,9419,5883,#N/A,#N/A,25,"3,795",25,"3,795","9,240",3
노원구,상계9동,0.81,8070,6470121796,3621325,18535.9692,14591.6076,23848,29442,8736,6772,#N/A,#N/A,31,"5,401",31,"5,401","8,461",4
노원구,상계10동,0.8,7015,#N/A,#N/A,18242.7773,19718.3081,19709,24636,7620,7532,#N/A,#N/A,24,"4,933",24,"4,933","6,598",0
노원구,상계3.4동,5.62,13242,9784223919,3148096,22129.6319,20560.9311,31990,5692,13796,11252,2,"4,992",473,"5,900",473,"5,900","12,577",1
노원구,상계6.7동,1.11,12767,5163532028,2687528,41461.2908,45014.7631,35872,32317,14059,23534,#N/A,#N/A,148,"10,931",148,"10,931","14,433",13
노원구,중계2.3동,0.9,14562,8744229774,3191735,40042.4993,39493.9477,40388,44876,15606,12260,#N/A,#N/A,32,"8,850",32,"8,850","15,349",2
노원구,공릉1동,1.41,16351,10544069684,2894210,45447.0965,46996.6847,39942,28328,17249,20633,90,"15,669","1,292","14,258","1,292","14,258","20,101",7
