동,label,면적,가구수,인구,인구밀도,상권월소득금액,상권지출총금액,유동인구(08),유동인구(19),은행,주차장,사업체
방배본동,2,0.67,7141,22153,33064,5146298,19737190160,24004.0781,24144.0315,5,697,1670
삼성1동,2,1.94,5137,15531,8006,3961868,6408887436,31158.836,50152.5728,30,786,4330
삼성2동,2,1.24,11587,31343,25277,5218587,18083153088,35931.7264,30237.8972,15,1181,3734
상계10동,0,0.8,7015,19709,24636,3528027.763,10397154720,18242.7773,19718.3081,0,24,469
상계1동,0,5.62,14507,42935,7640,3023939,9243567703,39082.8371,40893.5752,2,689,3133
상계2동,0,0.61,7948,22250,36475,3025239,21972713382,26041.4539,42530.9638,2,573,2459
상계3.4동,0,5.62,13242,31990,5692,3148096,9784223919,22129.6319,20560.9311,1,473,1434
상계5동,0,0.44,9278,28084,63827,3215180,10834405705,23134.3627,24180.2928,1,836,1568
상계6.7동,1,1.11,12767,35872,32317,2687528,5163532028,41461.2908,45014.7631,13,148,1910
상계8동,0,0.67,8889,26026,38845,3474556,13552837526,18008.0783,12342.5121,3,25,577
상계9동,0,0.81,8070,23848,29442,3621325,6470121796,18535.9692,14591.6076,4,31,721
서초1동,1,1.42,8025,21385,15060,5350092,10640028963,30074.5367,31146.5433,10,998,3626
서초2동,1,1.24,7466,21467,17312,5182070,9810426878,34361.3811,40284.6324,28,495,4406
서초3동,2,2.93,10743,30491,10406,5725397,9650076523,54055.1943,60545.4648,30,1594,7466
서초4동,2,0.88,8834,29056,33018,6758169,14194484875,37571.5076,50073.8919,16,252,2916
세곡동,0,6.36,14422,43302,6808,3406522.348,14473225187,45842.8777,38495.8044,1,549,950
수서동,1,1.43,6948,15732,11001,3608399,5756424677,24975.7541,24871.2868,4,91,1584
신사동,1,0.64,11160,26976,42150,2730270,21080234634,24519.4169,19608.6466,14,1184,1422
압구정동,1,2.53,9321,28735,11358,7481497,9370049004,43215.6821,50703.98,27,1040,4314
양재1동,1,5.76,16182,47859,8309,4167147,5588513562,47079.292,43557.7891,12,1332,3631
양재2동,1,7.58,9402,23633,3118,3265964,9406592258,36340.7529,38476.1793,16,1659,5257
역삼1동,2,2.35,18741,36450,15511,3496440,10675750059,79455.1947,107976.8404,56,3569,15079
역삼2동,1,1.15,12666,36314,31577,3406522.348,14473225187,45080.0483,39936.7878,13,1040,3416
월계1동,2,1.16,9272,22875,19720,3287233,8984487226,25234.1212,23998.6587,2,655,1444
월계2동,1,1.94,11137,28708,14798,2411090,5206978560,20649.2537,16895.069,3,250,922
월계3동,2,1.17,12400,34528,29511,3078747,7442977165,27876.1126,24593.6731,7,71,965
일원1동,1,0.92,6856,17627,19160,3895382,13694837574,18911.0678,16464.8125,2,806,1870
일원2동,0,1.24,6168,16621,13404,4128585,11017762962,16295.36,13125.9788,3,21,636
일원본동,0,2.58,7571,25350,9826,5887718,7499210919,23753.8505,19497.7442,5,130,564
자양1동,0,0.57,9762,24151,42370,2893437,23139854888,30306.821,27747.7711,4,1279,1736
자양2동,1,1.68,9896,27877,16593,2895805,15002199711,26168.3465,25293.3185,1,1211,1524
자양3동,2,1.2,10067,31227,26023,3646235,10999101539,24236.7629,27534.1828,6,432,1356
자양4동,2,1.16,10431,28033,24166,3638538,10667059585,29049.6485,38053.5502,2,951,2058
잠원동,2,1.76,12096,34015,19327,5992333,14235666179,41252.4216,37138.5397,10,613,2273
중계1동,0,0.63,8770,29782,47273,4827156,11133375142,24780.6324,21974.7172,3,66,951
중계2.3동,0,0.9,14562,40388,44876,3191735,8744229774,40042.4993,39493.9477,2,32,1360
중계4동,0,1.7,7829,22707,13357,3099615,14365141603,19893.108,17825.4135,3,158,1044
중계본동,1,1.97,8494,28567,14501,3281538,5383321180,21634.0971,20610.9677,2,278,1184
중곡1동,1,0.62,6749,16526,26655,2790828,11547536773,16336.5447,17163.2588,2,1078,1639
중곡2동,1,0.55,8830,22610,41109,2814542,17039006925,18953.4722,15182.6055,4,1409,1660
중곡3동,0,0.6,7229,18120,30200,2699789,10411148892,17295.3207,17302.654,1,1050,1347
중곡4동,0,2.32,11624,32041,13811,3406522.348,14473225187,28704.6695,25381.6719,2,1872,1545
청담동,1,2.33,10797,31129,13360,5155179,7167778669,40765.31,42867.5969,20,1576,4497
하계1동,0,1.55,10522,29635,19119,4776508,10030281600,27675.3446,25257.2219,1,309,1023
하계2동,0,0.51,8028,25078,49173,3269120.179,15449110316,21142.241,17952.8959,2,15,387
화양동,2,1.16,15466,24419,21051,2655292,8415198012,43610.7723,58641.3808,7,1212,2474
