동,label,면적,가구수,인구,인구밀도,상권월소득금액,상권지출총금액,유동인구(08),유동인구(19),은행,주차장,사업체
개포1동,0,1.27,7716,21700,17087,3528027.763,10397154720,8202.5721,4495.4752,1,28,503
개포2동,2,2.51,10081,27354,10898,3057068,4725703994,15125.1707,17940.8483,3,147,846
개포4동,1,1.49,8254,22135,14856,3528027.763,10397154720,18321.1197,15328.3946,4,1023,2221
공릉1동,1,1.41,16351,39942,28328,2894210,10544069684,45447.0965,46996.6847,7,1292,2776
공릉2동,0,6.82,15755,45297,6642,5485430,655921431,49957.5497,47454.1661,3,687,1944
광장동,0,2.39,11113,36917,15446,5095610,9041104973,40707.0683,39849.4266,9,336,1402
구의1동,2,0.56,10309,23510,41982,2918606,12716824610,25014.9529,24481.4437,4,1416,1900
구의2동,0,1.39,9358,25879,18618,3643208,8802103744,25040.3801,22771.9089,2,1347,1251
구의3동,1,1.02,10431,30067,29477,4761723,14378446086,36249.7392,40075.631,6,723,2636
군자동,2,0.74,10846,22091,29853,2837310,8318301401,20840.3407,20666.8933,6,1030,1609
내곡동,0,12.68,6083,18742,1478,3741384,2390909133,25771.8431,22853.7054,1,348,667
논현1동,1,1.25,12205,25307,20246,3220107,13133900768,38282.4174,44047.5037,15,2101,5788
논현2동,0,1.47,9983,23082,15702,3926834,8997846239,36427.1562,41423.0849,21,2153,5656
능동,2,1.1,5607,11712,10647,3528027.763,10397154720,16674.7627,18068.845,0,958,758
대치1동,2,0.79,5857,23283,29472,3269120.179,15449110316,25203.0461,27831.644,13,125,1066
대치2동,0,2,12604,42565,21283,5402903,14325096429,47196.5068,47403.4977,22,703,3468
대치4동,0,0.73,9166,21630,29630,4325768,16722049727,29154.8949,39679.189,15,1313,3716
도곡1동,2,1.02,7581,22693,22248,3528027.763,10397154720,25904.5253,23955.2564,10,447,1614
도곡2동,0,1.02,10835,35307,34615,7346227,18560962128,27895.0799,24355.2389,22,335,1926
반포1동,2,1,12166,30849,30849,3791186,24663969188,34971.2164,37587.3594,10,792,1517
반포2동,0,1.35,5592,19881,14727,6596014,14309842980,20526.0694,21919.8126,5,30,452
반포3동,1,1.28,6356,20920,16344,3528027.763,10397154720,21202.624,26291.8094,4,52,922
반포4동,2,1.43,6476,20745,14507,6576972,11949909953,40545.2199,58917.5509,16,690,3594
반포본동,2,1.01,3717,13317,13185,6734259,6005611046,11450.141,8650.5062,5,15,677
방배1동,1,0.7,6480,17538,25054,4023312,15228880743,19776.899,22094.6106,4,853,1767
방배2동,2,1.93,10111,28361,14695,3699921,16332321012,25882.236,33059.5548,2,1222,1957
방배3동,0,2.4,7866,24400,10167,5710881,11548321387,24825.4659,16037.4231,4,480,1222
방배4동,2,0.98,9295,26446,26986,5119227,20756736984,24068.9185,22098.1642,12,1238,2384
